Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13
RES SMD 27 OHM 5% 1/10W 0402	PANASONIC/ERJ-2GEJ270X	Panasonic	ERJ-2GEJ270X	Newark	97W7158	R3 R4	2	450	0.002	0.9	http://datasheet.octopart.com/ERJ3EKF1001V-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-11480398.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-5314550.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-13327251.pdf	http://datasheet.octopart.com/ERJ-2GEJ104X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-6GEYJ103V-Panasonic-datasheet-118598.pdf	http://datasheet.octopart.com/ERJ-6GEYJ122V-Panasonic---ECG-datasheet-15994758.pdf	http://datasheet.octopart.com/ERJ3RSFR10V-Panasonic-datasheet-5317253.pdf	http://datasheet.octopart.com/ERJ-3RSFR10V-Panasonic-datasheet-13271236.pdf	http://datasheet.octopart.com/ERJ-3RSFR10V-Panasonic-datasheet-11808873.pdf	http://datasheet.octopart.com/ERJ-3RSFR10V-Panasonic-datasheet-8714143.pdf
CAP CER 0.1UF 6.3V 10% X5R 0201	TDK/C0603X5R0J104K030BC	TDK	C0603X5R0J104K030BC	Newark	87R3023	C1 C3 C5	3	650	0.006	3.9													
CAP CER 0.1UF 6.3V 10% X5R 0201	MURATA/GRM033R60J104KE19D	Murata	GRM033R60J104KE19D	Quest	GRM033R60J104KE19D	C10 C11 C13 C14 C16 C18 C9	7	1450	0.0075	10.875	http://datasheet.octopart.com/GRM188R71C474KA88D-Murata-datasheet-118811.pdf	http://datasheet.octopart.com/GRM033R60J104KE19D-Murata-datasheet-8397485.pdf	http://datasheet.octopart.com/GRM033R60J104KE19D-Murata-datasheet-148210.pdf	http://datasheet.octopart.com/GRM033R60J104KE19D-Murata-datasheet-14399027.pdf	http://datasheet.octopart.com/GRM033R60J104KE19D-Murata-datasheet-5390194.pdf								
CAP CER 4.7UF 6.3V 20% X5R 0402	MURATA/GRM155R60J475ME87D	Murata	GRM155R60J475ME87D	Newark	40X5874	C12 C17 C19	3	650	0.065	42.25	http://www.murata.com/products/catalog/pdf/c02e.pdf	http://datasheet.octopart.com/GRM155R60J475ME87D-Murata-datasheet-14400495.pdf	http://datasheet.octopart.com/GRM155R60J475ME87D-Murata-datasheet-11770231.pdf										
CER RESONATOR 12.0MHZ SMD	MURATA/CSTCE12M0G55-R0	Murata	CSTCE12M0G55-R0	Mouser	81-CSTCE12M0G55-R0	Y1	1	205	0.278	56.99	http://datasheet.octopart.com/CSTCE12M0G55-R0-Murata-datasheet-162930.pdf	http://datasheet.octopart.com/CSTCE12M0G55-R0-Murata-datasheet-119166.pdf	http://www.murata.com/products/catalog/pdf/p16e.pdf	http://www.murata.com/products/catalog/pdf/p17e.pdf	http://za.mouser.com/catalog/English/102/APAC/1002.pdf								
RES SMD 4.7K OHM 5% 1/20W 0201	PANASONIC/ERJ-1GNJ472C	Panasonic	ERJ-1GNJ472C	Mouser	667-ERJ-1GNJ472C	R5 R6	2	450	0.013	5.85													
RES SMD 10K OHM 1% 1/20W 0201	PANASONIC/ERJ-1GEF1002C	Panasonic	ERJ-1GEF1002C	Newark	97W7129	R7	1	250	0.007	1.75													
IC REG BUCK SYNC 3.3V 0.5A 8WSON	TI/TPS62172DSGR	Texas Instruments	TPS62172DSGR	Mouser	TPS62172DSGR	U2	1	200	1.46	292	http://datasheet.octopart.com/TPS62172DSGR-Texas-Instruments-datasheet-17318277.pdf	http://datasheet.octopart.com/TPS62172DSGR-Texas-Instruments-datasheet-10941738.pdf	http://datasheet.octopart.com/TPS62172DSGR-Texas-Instruments-datasheet-17762602.pdf	http://datasheet.octopart.com/TPS62172DSGR-Texas-Instruments-datasheet-10625734.pdf									
FIXED IND 2.2UH 150MA 280 MOHM	MURATA/LQM21FN2R2N00D	Murata	LQM21FN2R2N00D	Mouser	81-LQM21FN2R2N00D	L1	1	250	0.074	18.5	http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0097LQM21F_00.pdf	http://search.murata.co.jp/Ceramy/image/img/w_hinm/L0075E.pdf											
RES SMD 470 OHM 0.5% 1/16W 0402	PANASONIC/ERA-2AED471X	Panasonic	ERA-2AED471X	Master Electronics	ERA2AED471X	R8	1	250	0.045	11.25													
RES SMD 100K OHM 1% 1/20W 0201	PS2/CRCW0201100KFKED	PMC-Sierra	CRCW0201100KFKED	Newark	84R1458	R11 R12 R13 R14 R15 R9	6	1250	0.026	32.5													
CAP CER 1000PF 25V 10% X5R 0201	EPCOS/C0603X5R1E102K030BA	EPCOS	C0603X5R1E102K030BA	Newark	91R0003	C7	1	250	0.005	1.25													
CAP CER 22UF 6.3V 20% X5R 0603	EPCOS/C1608X5R0J226M080AC	EPCOS	C1608X5R0J226M080AC	Newark	65T7792	C20	1	250	0.082	20.5													
RES SMD 4.7K OHM 5% 1/10W 0402	PANASONIC/ERJ-2GEJ472X	Panasonic	ERJ-2GEJ472X	Newark	97W7171	R10	1	250	0.002	0.5	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-13266872.pdf	http://datasheet.octopart.com/ERJ2GEJ472X-Panasonic-datasheet-5314550.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic---ECG-datasheet-15994758.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-118598.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-10554283.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-11480398.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-5313456.pdf	http://datasheet.octopart.com/ERJ2GEJ472X-Panasonic-datasheet-27908757.pdf	http://datasheet.octopart.com/Thick-Film-Chip-Resistors-Panasonic-datasheet-family-105.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-13040722.pdf	http://datasheet.octopart.com/ERJ-2GEJ472X-Panasonic-datasheet-13327251.pdf		
CRYSTAL 32.7680KHZ 9PF SMD	EPSON/MC-146%2032.768KA-AC3:ROHS	Epson	MC-146 32.768KA-AC3:ROHS			Y2	1	200		0													
CAP CER 0.1UF 16V 10% X7R 0402	KEMET/C0402C104K4RACTU	Kemet	C0402C104K4RACTU	Avnet Express	C0402C104K4RAC TU/BKN	C22	1	250	0.0147	3.675	http://datasheet.octopart.com/C0603C104K4RACTU-Kemet-datasheet-5313890.pdf	http://datasheet.octopart.com/C0402C104K4RACTU-Kemet-datasheet-13693438.pdf											
CAP CER 22PF 50V 5% C0G 0201	TDK/C0603C0G1H220J030BA	TDK	C0603C0G1H220J030BA	Newark	87R2996	C23 C24	2	450	0.003	1.35	http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_commercial_general_en.pdf												
RES SMD 470 OHM 5% 1/20W 0201	PANASONIC/ERJ-1GEJ471C	Panasonic	ERJ-1GEJ471C	Digi-Key	P470AGDKR-ND	R16 R18 R19 R20 R21	5	1050	0.00787	8.2635													
